shipment_id,origin,destination,distance,weather,traffic,Port_Congestion,Eta_Hours,Carrier_History,delay
41,Jaipur,Kolkata,1954,Low,High,3.0,21.0,Average,1
42,Delhi,Pune,666,Medium,Medium,0.0,37.0,Poor,0
43,Lucknow,Ahmedabad,470,Low,Medium,2.0,39.0,Poor,0
44,Jaipur,Lucknow,1035,High,Low,0.0,,Average,0
45,Lucknow,Jaipur,760,High,Medium,3.0,57.0,Poor,0
46,Hyderabad,Delhi,1554,Low,High,2.0,30.0,Average,0
47,Delhi,Lucknow,1068,,High,4.0,37.0,Average,1
48,Chennai,Delhi,1432,Medium,Medium,3.0,65.0,Poor,0
49,Pune,Hyderabad,1260,Low,,4.0,35.0,Good,0
50,Ahmedabad,Hyderabad,301,High,Low,1.0,71.0,Poor,0
51,Bangalore,Kolkata,1559,Low,,3.0,42.0,Good,0
52,Mumbai,Bangalore,412,Medium,Low,1.0,30.0,Average,0
53,Chennai,Ahmedabad,216,Medium,Low,3.0,44.0,Average,0
54,Delhi,Mumbai,1789,High,High,3.0,61.0,Good,1
55,Ahmedabad,Kolkata,1036,Medium,High,1.0,43.0,Average,0
56,Chennai,Chennai,1926,Low,High,,50.0,Good,0
57,Delhi,Mumbai,674,Medium,High,0.0,60.0,Good,0
58,Kolkata,Pune,343,Low,Medium,4.0,56.0,Average,0
59,Kolkata,Jaipur,636,Low,High,3.0,27.0,Good,0
60,Lucknow,Chennai,1725,Medium,Medium,4.0,67.0,,0
61,Chennai,Chennai,174,High,High,,20.0,Poor,1
62,Kolkata,Kolkata,1929,Medium,Medium,4.0,66.0,Average,0
63,Delhi,Bangalore,485,Low,Low,1.0,32.0,Average,0
64,Lucknow,Kolkata,1333,Low,Medium,4.0,57.0,Good,0
65,Delhi,Pune,574,Medium,Medium,0.0,31.0,Good,0
66,Lucknow,Lucknow,517,,High,0.0,26.0,Good,1
67,Chennai,Lucknow,446,High,Medium,0.0,14.0,Good,0
68,Ahmedabad,Bangalore,1652,Low,,0.0,53.0,Poor,0
69,Pune,Pune,739,Low,Low,0.0,20.0,Poor,0
70,Jaipur,Bangalore,1038,High,High,0.0,39.0,Average,1
71,Ahmedabad,Delhi,1054,Medium,Low,1.0,24.0,Good,0
72,Hyderabad,Lucknow,975,Low,Medium,3.0,36.0,Good,0
73,Delhi,Chennai,862,Low,Low,4.0,44.0,Average,1
74,Hyderabad,Ahmedabad,1302,High,High,0.0,42.0,Good,1
75,Ahmedabad,Jaipur,1305,Medium,Medium,1.0,29.0,Good,0
76,Lucknow,Pune,763,High,High,1.0,70.0,Good,0
77,Jaipur,Mumbai,124,Medium,Medium,1.0,25.0,,0
78,Jaipur,Bangalore,1303,Medium,Low,3.0,43.0,Good,0
79,Mumbai,Jaipur,809,Medium,High,4.0,11.0,Average,0
80,Jaipur,Mumbai,1624,Low,High,,44.0,Good,1
81,Pune,Jaipur,1979,High,Medium,2.0,49.0,Average,0
82,Jaipur,Ahmedabad,1284,High,,1.0,65.0,Good,1
83,Ahmedabad,Mumbai,276,Medium,Medium,2.0,37.0,Poor,0
84,Mumbai,Kolkata,384,Low,Medium,0.0,56.0,Poor,0
85,Ahmedabad,Hyderabad,162,Low,Medium,0.0,48.0,Poor,0
86,Ahmedabad,Kolkata,1102,High,Medium,3.0,15.0,Poor,1
87,Bangalore,Lucknow,761,Low,Low,4.0,18.0,Average,0
88,Mumbai,Hyderabad,765,Low,Medium,2.0,29.0,Average,0
89,Ahmedabad,Kolkata,255,Medium,High,4.0,69.0,Good,0
90,Bangalore,Hyderabad,1592,Low,Low,3.0,10.0,Poor,0
91,Bangalore,Hyderabad,1172,Medium,High,0.0,,Average,0
92,Mumbai,Chennai,1066,High,Low,4.0,64.0,Good,0
93,Hyderabad,Bangalore,948,Low,Medium,4.0,32.0,Good,0
94,Lucknow,Bangalore,1207,High,Low,0.0,12.0,Average,0
95,Pune,Chennai,1484,High,Low,2.0,13.0,Poor,0
96,Lucknow,Jaipur,788,Low,High,0.0,67.0,Good,0
97,Jaipur,Delhi,247,Low,High,4.0,34.0,Poor,1
98,Pune,Jaipur,1753,High,Medium,2.0,56.0,Poor,0
99,Jaipur,Mumbai,441,Low,Low,2.0,47.0,Poor,0
100,Ahmedabad,Mumbai,575,Medium,Low,0.0,24.0,Good,0
101,Delhi,Hyderabad,1186,Medium,Low,4.0,30.0,Poor,0
102,Mumbai,Kolkata,1824,Low,,3.0,44.0,,0
103,Pune,Kolkata,1483,High,Medium,4.0,66.0,Poor,1
104,Pune,Bangalore,660,Low,Medium,1.0,62.0,Good,0
105,Ahmedabad,Pune,426,Low,Medium,3.0,62.0,Poor,0
106,Hyderabad,Jaipur,1892,High,Medium,2.0,55.0,Average,1
107,Bangalore,Lucknow,1859,High,High,3.0,61.0,Poor,1
108,Ahmedabad,Ahmedabad,1264,Medium,Low,2.0,,Poor,0
109,Kolkata,Kolkata,1089,High,Low,2.0,45.0,Good,0
110,Bangalore,Ahmedabad,314,Medium,Low,3.0,21.0,Good,0
111,Mumbai,Hyderabad,534,High,Low,2.0,26.0,Poor,0
112,Bangalore,Ahmedabad,1051,Low,Low,2.0,48.0,Average,0
113,Hyderabad,Lucknow,822,Medium,Low,,18.0,Average,0
114,Bangalore,Chennai,1441,Medium,Low,4.0,44.0,Good,0
115,Mumbai,Lucknow,131,Medium,Low,4.0,69.0,Average,0
116,Hyderabad,Ahmedabad,769,Low,High,1.0,22.0,Poor,0
117,Lucknow,Lucknow,384,Low,Low,3.0,24.0,Good,0
118,Pune,Delhi,1428,Low,High,0.0,27.0,Poor,0
119,Pune,Hyderabad,528,Low,Medium,,60.0,Good,0
120,Jaipur,Jaipur,1600,Low,Low,0.0,,Good,0
121,Lucknow,Chennai,385,Medium,Medium,1.0,15.0,Good,0
122,Lucknow,Kolkata,1267,Low,Medium,1.0,68.0,Good,0
123,Bangalore,Mumbai,1547,Medium,Medium,2.0,36.0,Average,0
124,Pune,Jaipur,1142,Low,High,0.0,32.0,Poor,0
125,Mumbai,Mumbai,117,High,Medium,3.0,68.0,Poor,1
126,Chennai,Hyderabad,868,Medium,Medium,3.0,36.0,Poor,0
127,Chennai,Chennai,689,High,Medium,0.0,43.0,Good,0
128,Hyderabad,Bangalore,1494,Medium,Low,0.0,65.0,Average,0
129,Pune,Kolkata,1298,High,Low,0.0,55.0,Poor,0
130,Pune,Delhi,1109,Low,High,1.0,47.0,Average,0
131,Chennai,Bangalore,293,Low,High,1.0,23.0,Good,0
132,Pune,Hyderabad,601,Low,Low,1.0,45.0,Poor,0
133,Bangalore,Jaipur,1087,Medium,High,4.0,62.0,,1
134,Kolkata,Delhi,1236,High,Low,3.0,17.0,Good,1
135,Delhi,Lucknow,213,Low,Medium,3.0,71.0,Average,0
136,Lucknow,Ahmedabad,1345,High,Medium,2.0,44.0,,0
137,Jaipur,Delhi,1801,High,High,1.0,28.0,Poor,1
138,Hyderabad,Hyderabad,1046,Low,Low,4.0,39.0,Good,0
139,Kolkata,Pune,930,Low,Low,4.0,23.0,Good,0
140,Chennai,Ahmedabad,1767,High,High,3.0,68.0,Good,1
141,Lucknow,Mumbai,1387,Low,Low,1.0,29.0,Average,0
142,Pune,Kolkata,1024,Low,Medium,2.0,58.0,Average,0
143,Jaipur,Mumbai,154,Low,High,1.0,34.0,Average,0
144,Pune,Delhi,1994,Medium,High,0.0,49.0,Good,0
145,Mumbai,Mumbai,1766,High,Low,1.0,,Poor,1
146,Mumbai,Hyderabad,899,High,High,0.0,23.0,Poor,1
147,Jaipur,Lucknow,877,Medium,Low,0.0,35.0,Average,0
148,Jaipur,Jaipur,1581,High,Low,2.0,47.0,Average,0
149,Chennai,Kolkata,261,Low,Low,3.0,32.0,Poor,0
150,Jaipur,Mumbai,1503,High,Low,1.0,31.0,Poor,0
151,Bangalore,Mumbai,186,Low,Low,0.0,57.0,Average,0
152,Pune,Delhi,154,Medium,High,1.0,66.0,Average,0
153,Kolkata,Jaipur,1599,Low,Medium,3.0,28.0,Poor,0
154,Ahmedabad,Bangalore,1923,High,Medium,3.0,55.0,Good,0
155,Jaipur,Mumbai,1301,High,High,4.0,60.0,Average,1
156,Hyderabad,Hyderabad,1514,High,High,3.0,12.0,Poor,1
157,Mumbai,Pune,1472,Medium,Medium,2.0,51.0,Poor,0
158,Bangalore,Kolkata,1131,Medium,Medium,0.0,28.0,Poor,0
159,Lucknow,Mumbai,932,High,Medium,4.0,18.0,Poor,1
160,Ahmedabad,Hyderabad,412,Low,Medium,2.0,37.0,Good,0
161,Kolkata,Hyderabad,858,Medium,Medium,1.0,29.0,Poor,0
162,Ahmedabad,Kolkata,1958,High,Low,0.0,,Average,0
163,Jaipur,Bangalore,542,High,High,3.0,16.0,,1
164,Chennai,Hyderabad,1890,Medium,Low,0.0,23.0,,0
165,Mumbai,Pune,427,Medium,Medium,1.0,18.0,Good,0
166,Mumbai,Hyderabad,1177,Medium,Medium,4.0,68.0,Average,0
167,Lucknow,Hyderabad,860,Low,Medium,4.0,69.0,,0
168,Chennai,Hyderabad,1362,Low,Low,4.0,64.0,Average,0
169,Pune,Lucknow,1352,High,Low,3.0,66.0,Poor,1
170,Delhi,Lucknow,678,Medium,Medium,2.0,69.0,Poor,0
171,Bangalore,Bangalore,1174,Low,Low,2.0,28.0,Poor,0
172,Mumbai,Mumbai,1732,Medium,Low,,,Poor,0
173,Hyderabad,Hyderabad,1727,High,Medium,3.0,61.0,Poor,1
174,Mumbai,Jaipur,1106,Low,Low,,23.0,Good,0
175,Ahmedabad,Mumbai,1387,Low,High,4.0,65.0,Poor,1
176,Mumbai,Bangalore,1541,Low,High,1.0,47.0,Poor,0
177,Mumbai,Chennai,1926,High,High,1.0,62.0,Good,1
178,Delhi,Mumbai,195,Medium,High,4.0,70.0,Good,1
179,Delhi,Mumbai,1211,Low,,4.0,45.0,Good,0
180,Kolkata,Ahmedabad,1201,High,Medium,3.0,49.0,Good,1
181,Pune,Delhi,1411,Medium,Medium,2.0,26.0,Good,0
182,Hyderabad,Ahmedabad,1243,High,High,1.0,39.0,Good,1
183,Mumbai,Pune,913,Medium,High,2.0,18.0,Poor,0
184,Mumbai,Lucknow,590,High,Low,3.0,42.0,Poor,1
185,Bangalore,Lucknow,551,,Low,4.0,65.0,Average,0
186,Delhi,Delhi,1623,Low,High,2.0,61.0,Poor,0
187,Hyderabad,Kolkata,264,Medium,High,4.0,34.0,Poor,0
188,Lucknow,Kolkata,281,High,High,4.0,23.0,Good,1
189,Kolkata,Bangalore,568,High,High,0.0,20.0,Good,1
190,Pune,Delhi,1009,Medium,Low,2.0,62.0,Poor,0
191,Chennai,Mumbai,834,Low,High,2.0,44.0,Average,0
192,Pune,Kolkata,922,Low,Low,,50.0,Good,0
193,Ahmedabad,Hyderabad,1043,Medium,High,3.0,68.0,Poor,1
194,Mumbai,Jaipur,106,Medium,High,0.0,23.0,Poor,0
195,Kolkata,Mumbai,429,High,High,4.0,39.0,Average,1
196,Ahmedabad,Pune,874,Low,Low,1.0,50.0,Average,0
197,Hyderabad,Hyderabad,1796,Medium,Low,1.0,13.0,Good,0
198,Chennai,Hyderabad,250,Low,Medium,0.0,68.0,Average,0
199,Delhi,Delhi,1208,,,3.0,13.0,Poor,0
200,Kolkata,Bangalore,246,Medium,Medium,4.0,37.0,Poor,0
201,Kolkata,Pune,1747,,Medium,2.0,17.0,Average,0
202,Mumbai,Kolkata,1504,Medium,Low,0.0,11.0,Average,0
203,Jaipur,Delhi,1014,Medium,Low,3.0,50.0,Average,0
204,Kolkata,Kolkata,1671,High,Medium,2.0,70.0,Average,0
205,Bangalore,Delhi,1408,Medium,High,,55.0,Good,0
206,Chennai,Delhi,799,,Low,1.0,31.0,Average,0
207,Chennai,Delhi,181,Medium,High,2.0,50.0,Good,0
208,Bangalore,Bangalore,613,High,High,0.0,65.0,Poor,0
209,Lucknow,Delhi,914,Low,Medium,1.0,64.0,Average,0
210,Bangalore,Chennai,808,High,Medium,4.0,25.0,Good,1
211,Bangalore,Jaipur,1646,High,Medium,2.0,38.0,Average,0
212,Chennai,Kolkata,845,Low,Medium,2.0,,Poor,0
213,Pune,Mumbai,1122,High,Low,1.0,,Poor,0
214,Chennai,Ahmedabad,1509,Low,Low,,57.0,Poor,0
215,Jaipur,Pune,806,High,Medium,4.0,,Average,0
216,Mumbai,Lucknow,570,Low,Low,0.0,21.0,Average,0
217,Ahmedabad,Bangalore,1242,Medium,Medium,3.0,44.0,Good,0
218,Pune,Mumbai,495,High,High,3.0,20.0,Poor,1
219,Delhi,Hyderabad,1655,High,High,1.0,55.0,Average,1
220,Ahmedabad,Chennai,360,High,High,1.0,59.0,Poor,1
221,Mumbai,Lucknow,904,High,Medium,1.0,30.0,Poor,0
222,Jaipur,Ahmedabad,1033,Medium,High,3.0,30.0,Good,0
223,Jaipur,Mumbai,1379,High,Low,0.0,14.0,Good,0
224,Delhi,Lucknow,1857,Medium,High,0.0,57.0,Good,0
225,Pune,Mumbai,1004,Medium,High,1.0,29.0,Good,0
226,Lucknow,Chennai,1349,Medium,High,4.0,46.0,Poor,1
227,Bangalore,Ahmedabad,1176,Medium,Low,0.0,12.0,,0
228,Pune,Hyderabad,1039,Low,Medium,3.0,53.0,Good,0
229,Lucknow,Delhi,1990,Low,Low,2.0,42.0,Good,0
230,Jaipur,Kolkata,1623,High,Medium,2.0,62.0,Good,0
231,Chennai,Hyderabad,1629,Low,,2.0,70.0,Poor,0
232,Mumbai,Delhi,953,Low,High,4.0,18.0,Good,0
233,Delhi,Bangalore,1487,,Medium,1.0,70.0,Poor,0
234,Mumbai,Jaipur,1403,High,Low,3.0,18.0,Average,1
235,Hyderabad,Pune,692,High,Low,4.0,13.0,Poor,0
236,Hyderabad,Pune,813,Low,Medium,,44.0,Poor,0
237,Pune,Kolkata,1281,Low,High,3.0,26.0,Good,1
238,Jaipur,Ahmedabad,731,High,High,1.0,43.0,Average,0
239,Jaipur,Chennai,158,Medium,Low,2.0,33.0,Average,0
240,Bangalore,Ahmedabad,1850,High,High,1.0,41.0,Average,1
241,Bangalore,Chennai,227,Medium,Medium,4.0,10.0,Average,0
242,Bangalore,Ahmedabad,835,Medium,Medium,4.0,17.0,Poor,0
243,Chennai,Jaipur,820,,Low,4.0,54.0,Average,1
244,Ahmedabad,Bangalore,1238,High,Medium,1.0,32.0,Poor,0
245,Kolkata,Bangalore,1332,High,Low,3.0,56.0,Poor,0
246,Ahmedabad,Delhi,625,Low,Medium,3.0,49.0,Poor,0
247,Mumbai,Lucknow,620,,Low,0.0,21.0,Average,0
248,Ahmedabad,Bangalore,651,Low,High,4.0,63.0,Good,0
249,Chennai,Bangalore,336,Low,Medium,3.0,21.0,Good,0
250,Mumbai,Hyderabad,1404,,Medium,0.0,55.0,Average,0
251,Cuttack,Balasore,1482,Low,Low,3.0,56.0,Good,0
252,Visakhapatnam,Bhubaneswar,1324,High,Low,4.0,24.0,Good,1
253,Keonjhar,Dhenkanal,1881,Medium,Medium,2.0,50.0,Poor,0
254,Keonjhar,Baripada,1401,High,Low,4.0,28.0,Poor,1
255,Ranchi,Cuttack,1358,Low,Medium,1.0,35.0,Average,0
256,Jajpur,Cuttack,593,Low,High,3.0,61.0,Average,1
257,Rayagada,Balasore,103,High,Low,3.0,38.0,Good,0
258,Ranchi,Sambalpur,765,High,Medium,1.0,31.0,Poor,0
259,Rayagada,Kolkata,541,Low,High,1.0,49.0,Average,0
260,Bilaspur,Cuttack,128,Medium,High,2.0,30.0,Average,0
261,Sambalpur,Balasore,1232,,Medium,3.0,60.0,Average,0
262,Angul,Bilaspur,709,High,Low,3.0,47.0,Average,1
263,Berhampur,Keonjhar,1850,Medium,Medium,2.0,29.0,Average,0
264,Dhenkanal,Baripada,904,Low,High,0.0,,Average,0
265,Baripada,Angul,174,High,Medium,2.0,38.0,Good,0
266,Angul,Koraput,937,Low,,4.0,,Poor,0
267,Sambalpur,Keonjhar,1269,,High,3.0,13.0,Poor,1
268,Berhampur,Jharsuguda,227,Medium,Medium,1.0,64.0,Average,0
269,Cuttack,Berhampur,1976,High,Low,,16.0,Poor,1
270,Bhubaneswar,Kendrapara,141,,High,3.0,37.0,Poor,1
271,Sambalpur,Cuttack,1479,Medium,Low,2.0,37.0,Poor,0
272,Kolkata,Durg,140,Low,High,,13.0,Average,1
273,Balasore,Balasore,1033,Low,Medium,3.0,31.0,Average,0
274,Dhenkanal,Rourkela,133,Low,Low,0.0,21.0,Poor,0
275,Rayagada,Rayagada,1140,Low,High,0.0,54.0,Poor,0
276,Baripada,Kharagpur,1800,High,Low,1.0,12.0,Average,0
277,Paradeep,Angul,1276,High,Low,3.0,31.0,Good,1
278,Jharsuguda,Visakhapatnam,1097,Medium,Medium,0.0,53.0,Poor,0
279,Paradeep,Bhadrak,1501,Medium,Low,2.0,11.0,Good,0
280,Puri,Bhadrak,687,,,3.0,33.0,Poor,1
281,Dhenkanal,Dhenkanal,1722,High,High,2.0,43.0,Good,1
282,Cuttack,Cuttack,1752,,High,2.0,36.0,Good,0
283,Bhadrak,Paradeep,1997,Low,High,0.0,64.0,Good,0
284,Berhampur,Cuttack,441,Medium,Medium,3.0,,Average,0
285,Jajpur,Bhadrak,126,High,Low,4.0,10.0,Good,1
286,Bilaspur,Balasore,1948,Medium,Medium,0.0,17.0,Good,0
287,Rourkela,Bilaspur,1410,High,Low,0.0,32.0,Good,0
288,Jajpur,Koraput,745,Low,Low,3.0,47.0,Poor,0
289,Ranchi,Visakhapatnam,830,,Low,3.0,15.0,Good,0
290,Kharagpur,Sambalpur,267,Medium,Medium,2.0,,Poor,0
291,Raipur,Ranchi,709,High,Low,3.0,34.0,Good,1
292,Kendrapara,Bilaspur,367,Low,Medium,2.0,27.0,Good,0
293,Durg,Koraput,1872,Medium,High,0.0,26.0,Average,0
294,Paradeep,Visakhapatnam,920,Low,High,1.0,70.0,Poor,0
295,Paradeep,Kolkata,554,Medium,Low,4.0,21.0,Good,0
296,Bilaspur,Rourkela,1005,Low,Medium,0.0,15.0,Poor,0
297,Jharsuguda,Angul,1808,High,High,3.0,35.0,Poor,1
298,Kharagpur,Jajpur,1524,Medium,Medium,4.0,36.0,Average,0
299,Rayagada,Ranchi,1021,Medium,Medium,1.0,17.0,Average,0
300,Bhadrak,Ranchi,1080,Low,Low,1.0,28.0,Average,0
301,Jajpur,Sambalpur,1599,Low,High,2.0,69.0,Average,0
302,Angul,Raipur,801,Medium,Low,4.0,51.0,Average,0
303,Kolkata,Jajpur,733,,Low,2.0,10.0,,0
304,Jharsuguda,Visakhapatnam,1681,Low,High,0.0,66.0,Average,0
305,Jajpur,Koraput,1699,Low,High,4.0,38.0,Average,1
306,Balasore,Berhampur,229,Low,Medium,0.0,54.0,Good,0
307,Paradeep,Keonjhar,1119,Medium,High,2.0,58.0,Poor,0
308,Cuttack,Koraput,1945,Medium,Medium,4.0,44.0,Average,0
309,Jharsuguda,Bhadrak,1486,Medium,Medium,,49.0,,0
310,Kolkata,Keonjhar,1828,Medium,Medium,4.0,23.0,Poor,1
311,Sambalpur,Raipur,918,High,High,2.0,44.0,Good,0
312,Dhenkanal,Keonjhar,792,High,Low,1.0,57.0,Poor,0
313,Cuttack,Paradeep,1415,Medium,Medium,2.0,54.0,Poor,0
314,Bilaspur,Jajpur,1494,High,,1.0,29.0,Average,0
315,Jajpur,Koraput,893,Low,Low,2.0,65.0,Poor,0
316,Kolkata,Raipur,128,Low,High,4.0,58.0,Poor,1
317,Koraput,Dhenkanal,248,Low,Low,4.0,22.0,Average,0
318,Raipur,Ranchi,1902,Medium,Low,4.0,70.0,Average,0
319,Berhampur,Balasore,1419,Low,High,3.0,47.0,Average,1
320,Ranchi,Bhadrak,110,High,Medium,0.0,58.0,Average,0
321,Ranchi,Baripada,1635,Medium,Low,4.0,55.0,Poor,0
322,Koraput,Keonjhar,775,High,High,1.0,58.0,Poor,1
323,Balasore,Rourkela,1236,Low,Low,4.0,71.0,Good,0
324,Bhubaneswar,Jharsuguda,286,Low,Low,3.0,17.0,Good,0
325,Kolkata,Paradeep,906,Low,Medium,1.0,52.0,Poor,0
326,Jharsuguda,Jharsuguda,843,Medium,Low,3.0,29.0,Good,1
327,Kolkata,Keonjhar,1350,High,High,1.0,69.0,Poor,1
328,Angul,Bhadrak,1433,Medium,Low,2.0,42.0,Good,0
329,Baripada,Berhampur,197,Medium,Medium,0.0,35.0,,0
330,Kendrapara,Kolkata,154,Low,Medium,0.0,48.0,Good,0
331,Puri,Kendrapara,722,Medium,High,3.0,30.0,Average,1
332,Jajpur,Koraput,763,Medium,Medium,0.0,,Average,0
333,Baripada,Raipur,857,Low,Low,3.0,58.0,Average,0
334,Dhenkanal,Berhampur,505,Medium,Medium,3.0,71.0,Average,0
335,Kendrapara,Jajpur,168,Low,High,3.0,51.0,Good,0
336,Angul,Jajpur,1435,Low,Medium,0.0,52.0,Poor,0
337,Durg,Paradeep,1412,Low,Medium,3.0,63.0,Average,1
338,Rourkela,Kharagpur,1885,Low,Medium,0.0,71.0,Good,0
339,Visakhapatnam,Kharagpur,1671,Medium,High,,50.0,Average,1
340,Paradeep,Cuttack,850,Low,Medium,4.0,18.0,Good,0
341,Angul,Balasore,1271,Low,Medium,3.0,33.0,Good,0
342,Durg,Sambalpur,1590,Medium,Low,1.0,46.0,Good,0
343,Jharsuguda,Jharsuguda,1862,Medium,High,3.0,58.0,Poor,1
344,Bilaspur,Puri,1367,,Medium,2.0,50.0,Good,0
345,Bhubaneswar,Bhubaneswar,1614,Medium,High,3.0,26.0,Good,1
346,Bhubaneswar,Kolkata,1972,Medium,,1.0,33.0,Poor,0
347,Baripada,Bhubaneswar,1057,High,Medium,1.0,30.0,Poor,0
348,Raipur,Koraput,1630,Medium,Medium,0.0,60.0,Good,0
349,Bhadrak,Balasore,464,Medium,Low,4.0,,Poor,0
350,Bilaspur,Jharsuguda,581,Medium,Low,3.0,48.0,Average,0
351,Berhampur,Bilaspur,300,Medium,Low,0.0,64.0,Average,0
352,Kharagpur,Ranchi,253,High,High,4.0,50.0,Poor,1
353,Kendrapara,Bilaspur,1573,Medium,High,3.0,48.0,Poor,1
354,Berhampur,Jharsuguda,1624,Medium,Low,2.0,22.0,Good,0
355,Sambalpur,Balasore,172,High,High,3.0,20.0,,1
356,Rayagada,Jajpur,812,Low,Medium,1.0,55.0,Good,0
357,Bhadrak,Kendrapara,395,High,Medium,1.0,28.0,Average,0
358,Jharsuguda,Raipur,1140,Low,Medium,2.0,20.0,Poor,0
359,Kolkata,Rourkela,1764,High,Low,0.0,22.0,,0
360,Berhampur,Puri,1340,High,High,4.0,55.0,Good,1
361,Jajpur,Dhenkanal,160,Medium,Low,3.0,54.0,Average,1
362,Ranchi,Kharagpur,1038,Low,High,1.0,10.0,Poor,0
363,Jajpur,Dhenkanal,1739,Medium,Medium,0.0,49.0,Average,0
364,Paradeep,Ranchi,141,Low,Low,2.0,53.0,Good,0
365,Raipur,Rayagada,124,High,High,1.0,28.0,Good,1
366,Berhampur,Balasore,1162,High,High,2.0,21.0,Poor,1
367,Sambalpur,Baripada,1926,Low,Medium,3.0,17.0,Good,0
368,Berhampur,Visakhapatnam,230,Medium,Low,4.0,17.0,Poor,0
369,Keonjhar,Bhadrak,1621,Medium,Low,1.0,70.0,Average,0
370,Kolkata,Puri,1352,Medium,Low,1.0,62.0,Poor,0
371,Kolkata,Sambalpur,207,Medium,,3.0,54.0,Poor,0
372,Berhampur,Durg,271,High,Low,0.0,21.0,,0
373,Berhampur,Jharsuguda,1558,High,Medium,4.0,70.0,,1
374,Cuttack,Kendrapara,1601,High,Medium,1.0,57.0,Poor,0
375,Visakhapatnam,Koraput,201,High,Medium,4.0,42.0,Good,1
376,Paradeep,Bhubaneswar,965,High,High,1.0,54.0,Good,1
377,Dhenkanal,Keonjhar,623,Medium,Low,4.0,35.0,Good,0
378,Bilaspur,Bhubaneswar,374,Medium,Low,2.0,48.0,Poor,0
379,Visakhapatnam,Baripada,1736,,Medium,1.0,37.0,Good,0
380,Angul,Puri,1167,,Medium,4.0,67.0,Poor,0
381,Puri,Raipur,916,High,Low,0.0,,Good,0
382,Bilaspur,Koraput,1056,High,Medium,2.0,17.0,Average,0
383,Keonjhar,Rayagada,1140,High,,2.0,34.0,Good,0
384,Koraput,Puri,429,Low,High,0.0,36.0,Good,0
385,Rayagada,Durg,1692,Medium,Medium,4.0,55.0,Poor,0
386,Jajpur,Dhenkanal,1946,Medium,Low,3.0,32.0,Poor,0
387,Koraput,Kolkata,1620,High,Medium,0.0,,Good,0
388,Keonjhar,Baripada,1938,Medium,Low,4.0,54.0,Average,0
389,Berhampur,Rayagada,111,Medium,Low,0.0,56.0,Good,0
390,Bhadrak,Dhenkanal,1441,High,Medium,0.0,32.0,Good,0
391,Cuttack,Cuttack,1715,Low,High,1.0,58.0,Average,0
